,Rating,Mobile Name:,Price,RAM
261,3.0,"Kara Mega 2 (4G Volte) (Gold, 16 GB)",7399,2
262,3.9,"Micromax Canvas 5 Lite Q462 (Brown, 16 GB)",4990,2
263,3.6,"HTC Desire 826 DS (GSM + CDMA) (White Birch, 16 GB)",12950,2
264,3.5,"ZOPO ZOPO Hero 1 White (White, 16 GB)",5510,2
265,4.0,"Lenovo A6000 Plus (Black, 16 GB)",7300,2
266,3.5,"Lava X50 4G with VoLTE (Gold, 8 GB)",6499,2
267,3.9,"Asus Zenfone Go 5.0 LTE 2nd Gen (Black, 16 GB)",6899,2
268,3.3,"Blackberry Q5 (Black, 8 GB)",8299,2
269,3.9,"Swipe Konnect Plus (Black, 16 GB)",4549,2
270,3.6,"Celkon Diamond U (Gold, 16 GB)",5799,2
271,3.3,"Zopo Color F2 - 4G VoLTE (White, 16 GB)",6500,2
272,3.5,"Intex Aqua S3 (Champagne, 16 GB)",5547,2
273,3.3,"Blackberry Z10 (Pure White, 16 GB)",8899,2
274,3.3,"ZOPO F2 (Rose Gold, 16 GB)",6500,2
275,4.8,"ZOPO F2 (Black, 16 GB)",6500,2
276,3.3,"Alcatel U5 HD (Metallic Black, 16 GB)",5999,2
277,3.1,"ZOPO F2 (Gold, 16 GB)",6500,2
278,3.3,"Blackberry Q10 (White, 16 GB)",8999,2
279,3.0,"Videocon Krypton3 V50JG (GOLDEN BLUE, 16 GB)",5800,2
280,4.1,"Blackberry Z10 Special Price (Charcoal Black, 16 GB)",7700,2
281,3.5,"ZOPO Color C3 (Champagne Gold, 16 GB)",5750,2
282,3.5,"Panasonic Eluga Pulse (Gold, 16 GB)",8399,2
283,3.0,"Swipe Virtue (White and Silver, 16 GB)",4990,2
284,3.5,"Zopo Color F5 (White, 16 GB)",5998,2
285,3.7,"Blackberry Leap (Grey, 16 GB)",10799,2
286,3.5,"Swipe Elite Plus 4G (Ivory White/White, 16 GB)",6449,2
287,3.9,"Blackberry Q5 (White, 8 GB)",7959,2
288,3.5,"ZOPO COLOR F5 (Black, 16 GB)",5998,2
289,3.9,"Micromax play 4G (moondust grey, 16 GB)",8999,2
290,3.6,"Micromax Selfie A255 (White, 16 GB)",6499,2
291,3.7,"Blackberry Leap (Grey, 16 GB)",10599,2
292,4.0,"Asus Zenfone 6 (Deep Black, 16 GB)",7990,2
293,3.6,"Asus Zenfone Go 5.0 LTE (Black, 16 GB)",6990,2
294,3.1,"Blackberry Q10 (Black, 16 GB)",13599,2
295,3.8,"Lenovo A7700 (Black, 16 GB)",8590,2
296,3.0,"Zen Cinemax 4G (Rose & Gold, 16 GB)",6499,2
297,3.1,"LYF Water 2 (Silver, 16 GB)",7999,2
298,3.9,"Blackberry Classic (Black, 16 GB)",16999,2
299,3.7,"LYF Water 9 (White & Gold, 16 GB)",8390,2
300,3.2,"HTC Desire 826 (Blue Lagoon, 16 GB)",19990,2
301,3.4,"ZTE Star 1 (Black, 16 GB)",4999,2
302,4.0,"Zen Cinemax 3 (Black, 16 GB)",3390,2
303,3.0,"Asus Zenfone Go 5.0 (White, 16 GB)",6999,2
304,3.4,"Swipe Virtue (White & Silver, 16 GB)",4980,2
305,3.4,"LG X Cam (Titan Silver, 16 GB)",12990,2
306,3.9,"Blackberry Z30 (Black, 16 GB)",13875,2
307,3.2,"Blackberry Q10 Special Edition (White, 16 GB)",8995,2
308,3.5,"Asus Zenfone Go 5.0 LTE 2nd Gen (Red, 16 GB)",7399,2
309,3.5,"ZTE V7 Lite (4G VoLTE) (Champagne Gold, 16 GB)",9097,2
310,4.1,"ZTE V7 Lite (4G VoLTE) (Silver, 16 GB)",9097,2
311,3.6,"Swipe Elite Plus 4G (Midnight Blue, 16 GB)",6499,2
312,3.9,"HTC Desire 825 (Sprinkle White, 16 GB)",12499,2
313,4.0,"Panasonic ELUGA ARC (Gold, 16 GB)",7499,2
314,4.1,"HTC Desire 820S (Santorini White, 16 GB)",13750,2
315,3.8,"Asus Zenfone Go 5.0 (Black, 16 GB)",6819,2
316,3.8,"Asus Zenfone Live (Pink, 16 GB)",8850,2
317,3.2,"HTC Desire 630 (Sprinkle White, 16 GB)",11300,2
318,3.8,"Lenovo P70-A (Blue, 16 GB)",10490,2
319,4.1,"Videocon V502430 (Blue, 16 GB)",5999,2
320,4.1,"HTC Desire 728 Dual Sim (LTE + LTE) (Purple Myst, 16 GB)",12999,2
321,4.0,"Asus Zenfone 2 Laser ZE550KL (Red, 16 GB)",8490,2
322,4.0,"Gionee F103 (Pearl White, 16 GB)",10499,2
323,3.8,"Asus Zenfone 2 ZE550ML (White, 16 GB)",7990,2
324,3.6,"Asus Zenfone 2 ZE550ML (Red, 16 GB)",8400,2
325,3.8,"Asus Zenfone 2 ZE551ML (Silver, 16 GB)",8490,2
326,3.6,"InFocus m370i (Gentle Black, 16 GB)",6740,2
327,3.8,"Asus Zenfone 2 ZE551ML (Gold, 16 GB)",8990,2
328,3.7,"HTC e9s dual (Meteor Grey, 16 GB)",12699,2
329,3.6,"Lava A97 4G with VoLTE (Black Gold, 8 GB)",6249,2
330,3.8,"HTC Desire 728 Dual Sim (LTE + LTE) (White Luxury, 16 GB)",12500,2
331,4.1,"ZOPO C3 (Rose Gold, 8 GB)",4999,2
332,4.1,"Asus Zenfone 5 (Red, 16 GB)",8999,2
333,3.3,"Asus Zenfone 5 (Black, 16 GB)",7990,2
334,3.4,"Energy Sistem Neo Quad 3G (Gold, 16 GB)",4321,2
335,4.1,"LYF Wind 2 (Gold, 16 GB)",12000,2
336,3.0,"Intex Aqua Star II (White, 16 GB)",6299,2
337,4.6,"HTC One 802d (Silver, 32 GB)",35499,2
338,3.6,"Mafe Shine M820 (White, 16 GB)",5799,2
339,3.6,"Intex Aqua Speed HD (White,Champagne, 16 GB)",4948,2
340,3.4,"Brandsdaddy BD MAGIC (Black, 16 GB)",13999,2
341,3.4,"LYF Wind 4S (Brown, 16 GB)",9000,2
342,3.6,"Lava X3 (Black & Blue, 8 GB)",5399,2
343,3.5,"Intex Aqua Speed (White,Champagne, 16 GB)",4948,2
344,3.5,"Intex Aqua Speed (White, 16 GB)",7777,2
345,3.8,"LYF Wind 4S (Blue, 16 GB)",6547,2
346,4.0,"Asus Zenfone Go 5.0 LTE 2nd Gen (Blue, 16 GB)",7299,2
347,4.2,"Sansui S74 (Grey, 16 GB)",6399,2
348,4.0,"Nokia 3 (Silver White, 16 GB)",8950,2
349,4.0,"Nokia 3 (Matte Black, 16 GB)",8890,2
350,4.2,"Honor 5X (Silver, 16 GB)",7999,2
351,3.9,"Lenovo A6600 Plus (White, 16 GB)",6260,2
352,4.1,"Moto E3 Power (White, 16 GB)",6999,2
353,3.7,"Micromax Canvas Knight 2 (White & Silver, 16 GB)",6000,2
354,3.9,"Micromax Evok Power (Champagne, 16 GB)",6999,2
355,4.2,"Samsung Galaxy J5 - 6 (New 2016 Edition) (White, 16 GB)",10090,2
356,3.7,"Sansui Horizon 2S (Grey, 16 GB)",4499,2
357,4.0,"Micromax Sliver 5 Q450 (Black, 16 GB)",6390,2
358,4.1,"Asus Zenfone 2 Laser ZE550KL (Black, 16 GB)",6999,2
359,3.4,"Sansui Horizon 2 - 4G VoLTE (Champion Gold, 16 GB)",4999,2
360,3.4,"Sansui Horizon 2 - 4G VoLTE (Rose Gold, 16 GB)",4999,2
361,4.0,"Micromax Canvas Sliver 5 (White & Champagne, 16 GB)",6697,2
362,3.8,"Sony Xperia XA Dual (White, 16 GB)",12990,2
363,3.8,"Lava X50 Plus (Blue and Silver, 32 GB)",6999,2
364,4.2,"Moto X (2nd Generation) (Black, 16 GB)",14999,2
365,3.8,"Sony Xperia XA Dual (Rose Gold, 16 GB)",12990,2
366,3.8,"InFocus M680 (Silver, 16 GB)",6999,2
367,4.2,"Moto G4 Plus (Black, 16 GB)",11499,2
368,4.3,"Intex INTEX XTREME 2 (Silver, 16 GB)",6990,2
369,4.3,"Redmi Note 4 (Gold, 32 GB)",9999,2
370,4.0,"Redmi Note 4 (Black, 32 GB)",9999,2
371,4.1,"Asus Zenfone Max (White, 16 GB)",9999,2
372,3.7,"Karbonn Titanium MachFive (White & Blue, 16 GB)",4540,2
373,3.5,"Karbonn Titanium (Black, Blue, 16 GB)",4799,2
374,3.0,"Iball SOLUS 4G (Blue) (Blue, 2 GB)",6999,2
375,3.8,"Swipe Virtue (Black, 16 GB)",4990,2
376,3.9,"BLU Studio One (Black, 16 GB)",5999,2
377,4.0,"Lenovo Vibe K5 Plus (Silver, 16 GB)",8499,2
378,3.8,"Colors Elite (White, 16 GB)",4499,2
379,3.6,"Lenovo A6000 Plus (White, 16 GB)",7100,2
380,3.8,"Lenovo A7700 (White, 16 GB)",7999,2
381,3.5,"Intex Aqua Shine 4G (Grey, 16 GB)",6290,2
382,3.8,"Intex Power plus (Champagne, 16 GB)",6449,2
383,3.8,"LYF Water 3 (Silver, 16 GB)",6599,2
