Rating,Mobile Name:,Price,RAM
3.8,"Coolpad Mega 3 (Moondust Grey, 16 GB)",7999,2
4,"Panasonic Eluga I2 Activ (Grey, 16 GB)",6790,2
3.7,"Gionee P7 (Grey, 16 GB)",7799,2
3.9,"Celkon Diamond Mega 4G (16 GB) (Gold, 16 GB)",6499,2
3.9,"HTC Desire 820S (Milkyway Grey, 16 GB)",20106,2
4.5,"Celkon Diamond UFEEL 4G (White & Gold, 16 GB)",4999,2
3.2,"JIVI Grand 3000 (Grey, 16 GB)",6868,2
3.7,"Gionee P7 (White, 16 GB)",8499,2
5,"Lava A97 2GB Plus 4G with VoLTE (Black & Gold, 16 GB)",6649,2
5,"Gionee X1 (Black, 16 GB)",8990,2
3.4,"InFocus M808i (4G VoLTE) (Mysterious Silver, 16 GB)",6999,2
4.1,"Honor 8 Smart (White, 16 GB)",9700,2
3.7,"Gionee P7 (Gold, 16 GB)",8700,2
5,"Comio S1 4G (Royal Black, 32 GB)",8999,2
3.9,"Micromax Canvas Nitro 2 (White & Gold, 16 GB)",5249,2
4.1,"Samsung Galaxy J2 Pro (Silver, 16 GB)",9090,2
3.6,"Micromax Canvas Xpress 4G (Blue, 16 GB)",4999,2
4.2,"Moto X Play(With Turbo Charger) (White, 32 GB)",18999,2
4.2,"Moto X Play(With Turbo Charger) (White, 16 GB)",17499,2
4.2,"Moto X Play(With Turbo Charger) (Black, 32 GB)",18999,2
3.6,"Coolpad 3503I (Gold, 16 GB)",7700,2
4,"Samsung Galaxy A5 2016 Edition (Gold, 16 GB)",18799,2
3.8,"Micromax Canvas Unite 4 Plus (Silver, 16 GB)",6999,2
3.8,"Micromax Canvas Unite 4 Plus (Champange, 16 GB)",6999,2
3.9,"Micromax Canvas Nitro 2 (Grey & Silver, 16 GB)",6999,2
5,"Gionee X1 (Gold, 16 GB)",9300,2
3.5,"LYF Water 1 (White, 16 GB)",7329,2
5,"Comio C2 (Royal Blue, 16 GB)",7199,2
3.8,"Comio S1 4G (Sunrise Gold, 32 GB)",8999,2
3.4,"Panasonic P88 (Charcoal Grey, 16 GB)",7699,2
4.1,"Karbonn Titanium S205 (White & Golden, 16 GB)",4495,2
4.1,"BLU Life Mark (Grey, 16 GB)",6099,2
3.9,"LG Stylus 2 (Brown, 16 GB)",12700,2
4.1,"HTC Desire 828 Dual Sim (Dark Grey, 16 GB)",15490,2
4,"HTC Desire Eye (Submarine Blue, 16 GB)",15990,2
3.5,"Panasonic Eluga I2 Activ (Gold, 16 GB)",7499,2
4,"Micromax Canvas Knight 2 E471 Dual Sim - White & Champange Gold (White, Champange, 16 GB)",7099,2
3.6,"Asus Zenfone 2 ZE550ML (Black, 16 GB)",12999,2
