Rating,Mobile Name:,Price,RAM
4,"LG G4 (Metallic Gray, 32 GB)",20500,3
3.7,"Gionee X1s (Black, 16 GB)",12999,3
3.7,"Panasonic Eluga A3 (Grey, 16 GB)",11290,3
3.7,"Elephone P9000 (Black, 32 GB)",10999,3
3.9,"Intex Aqua S7 (Champagne, 16 GB)",8899,3
3.8,"HTC Desire 828 Dual SIM (Dark Grey, 32 GB)",12999,3
3.9,"Panasonic Eluga Turbo (Rose Gold, 32 GB)",9199,3
4.1,"Gionee F103 Pro (White, 16 GB)",10999,3
4,"Panasonic Eluga Arc2 (Gold, 32 GB)",9499,3
4,"ZOPO ZP951 Speed 7 (White, 16 GB)",8060,3
4.3,"Samsung Galaxy Note 3 (Classic White, 32 GB)",25000,3
4.3,"Zopo Flash X Plus (Rose Gold, 32 GB)",9199,3
3.4,"Panasonic Eluga A3 Pro (Mocha Gold, 32 GB)",12790,3
3.9,Asus Zenfone 3 Max ZC553KL,17999,3
3,"Intex Super (Champange, Gold, 16 GB)",8260,3
4.3,"Panasonic Eluga I3 Mega (Silver, 16 GB)",9749,3
4.4,"Nexus 6P Special Edition (Gold, 64 GB)",42998,3
4,"Gionee M5 Lite 4G (Blue, 32 GB)",13999,3
4,"OPPO F1 (Gold, 16 GB)",14990,3
3.3,"Sony Xperia Z5 Dual (Graphite Black, 32 GB)",31599,3
4,LYF Water 7S,7989,3
4.1,"Gionee S6 (Gold, 32 GB)",14599,3
3.8,"OPPO F1s (Grey, 32 GB)",17471,3
3.4,"Panasonic P55 Novo (Champagne Gold, 16 GB)",8949,3
3.7,"LYF Earth 2 (Black, 32 GB)",10799,3
3.6,"Lenovo Vibe P1 Turbo/Vibe P1 (Grey, 32 GB)",13600,3
3.6,"Gionee F103 3GB RAM Version (White, 16 GB)",10199,3
3.9,"Gionee F103 3Gb RAM Version (Black, 16 GB)",9199,3
3.7,"mPhone 6 (Rose Gold, 32 GB)",12999,3
3.5,"InFocus M812 (Silver, 16 GB)",8990,3
3.7,"ZOPO Speed 7 Plus Black (Black, 16 GB)",7999,3
4,"InFocus M812 (Silver, 16 GB)",13348,3
3.7,"Gionee S6 (Rose Gold, 32 GB)",15999,3
3.7,"Lenovo K8 (Fine Gold, 32 GB)",9999,3
