Rating,Mobile Name:,Price,RAM
4.4,"Redmi Note 4 (Gold, 64 GB)",12999,4
4.4,"Mi A1 (Black, 64 GB)",14999,4
4.4,"Redmi Note 4 (Black, 64 GB)",12999,4
3.8,"Smartron srt.phone (Titanium Gray, 64 GB)",11999,4
4.3,"OPPO F3 Plus (Gold, 64 GB)",24990,4
4.4,"Honor 9i (Prestige Gold, 64 GB)",17999,4
4.4,"Redmi Note 4 (Dark Grey, 64 GB)",12999,4
4.4,"Mi A1 (Gold, 64 GB)",14999,4
4.3,"Samsung Galaxy On Max (Black, 32 GB)",15900,4
4.1,"Lenovo K8 Plus (Venom Black, 32 GB)",10999,4
4.4,"Mi Max 2 (Black, 64 GB)",16999,4
4.3,"Moto G5 Plus (Lunar Grey, 32 GB)",13999,4
4.3,"Moto G5 Plus (Fine Gold, 32 GB)",12999,4
3.8,"Smartron srt.phone (Titanium Gray, 32 GB)",10999,4
3.6,"LeEco Le Max2 (Rose Gold, 32 GB)",11999,4
4.2,"OPPO F3 (Gold, 64 GB)",18990,4
3.8,"ZTE Blade A2 Plus (Golden, 32 GB)",8999,4
3.8,"ZTE Blade A2 Plus (Grey, 32 GB)",8999,4
4.1,"Lenovo K8 Plus (Fine Gold, 32 GB)",10999,4
4.1,"Lenovo Vibe K5 Note (Silver, 32 GB)",9999,4
3.9,"Moto M (Gold, 64 GB)",12999,4
3.9,"Moto M (Silver, 64 GB)",12999,4
3.9,"Moto M (Grey, 64 GB)",12999,4
4.3,"Honor 6X (Silver, 64 GB)",11999,4
4,"Asus Zenfone 4 Selfie Dual Camera (Gold, 64 GB)",13999,4
4.4,"VIVO V7+ (Gold, 64 GB)",21990,4
4.4,"VIVO V7+ (Matte Black, 64 GB)",21990,4
4.4,"Samsung Galaxy S7 (Black Onyx, 32 GB)",29990,4
4.4,"Samsung Galaxy S7 (Gold Platinum, 32 GB)",29990,4
3.8,"Smartron srt.phone (Titanium Gray, 64 GB)",11999,4
4.4,"Samsung Galaxy S7 (Silver Titanium, 32 GB)",29990,4
4.4,"Samsung J7 Max (Gold, 32 GB)",17900,4
4,"Lenovo K6 Power (Gold, 32 GB)",10999,4
3.8,"Smartron srt.phone (Titanium Gray, 32 GB)",10999,4
4,"Yu Yureka 2 (Champagne/Gold, 64 GB)",11999,4
4.4,"Samsung J7 Max (Black, 32 GB)",17900,4
3.9,"Lenovo Z2 Plus (Black, 64 GB)",11431,4
4.3,"VIVO V5 Plus (Gold, 64 GB)",22990,4
4,"Asus Zenfone 3 Laser (Gold, 32 GB)",10999,4
3.9,"HTC U Ultra (Brilliant Black, 64 GB)",30990,4
4.1,"Lenovo Vibe K5 Note (Silver, 64 GB)",11499,4
4.1,"Lenovo Vibe K5 Note (Gold, 64 GB)",11499,4
4.3,"Lenovo P2 (Gold, 32 GB)",15499,4
3.9,"Coolpad Note 5 (Royal Gold, 32 GB)",9900,4
4.2,"OPPO F3 (Black, 64 GB)",18990,4
4.3,"Honor 8 Lite (Blue, 64 GB)",15300,4
4.2,"LG G6 (Platinum, 64 GB)",33990,4
4.2,"LG G6 (Black, 64 GB)",33990,4
4.1,"Gionee A1 (Gold, 64 GB)",16999,4
3.8,"Smartron srt.phone (Titanium Gray, 64 GB)",11999,4
4.3,"VIVO V5s Perfect Selfie (Energetic Blue, 64 GB)",17990,4
4.3,"VIVO V5s Perfect Selfie (Crown Gold, 64 GB)",17990,4
4.3,"VIVO V5s Perfect Selfie (Matte Black, 64 GB)",17990,4
3.8,"Smartron srt.phone (Titanium Gray, 32 GB)",10999,4
4.1,"Gionee A1 (Black, 64 GB)",15453,4
4.5,"Google Pixel XL (Very Silver, 32 GB)",39999,4
4.6,"Coolpad Cool C1 C103 (Gold, 64 GB)",12440,4
4.6,"Samsung Galaxy S8 Plus (Midnight Black, 64 GB)",58900,4
4,"Asus Zenfone 3 Laser (Silver, 32 GB)",10999,4
4.4,Honor 8,17999,4
4.4,Honor 8,17999,4
4.4,Honor 8,17999,4
4.1,"HTC Desire 10 Pro (Stone Black, 64 GB)",20490,4
4.1,"HTC Desire 10 Pro (Polar White, 64 GB)",18995,4
3.9,"Coolpad Note 5 (Space Grey, 32 GB)",9990,4
3.9,"Coolpad Cool 1 (Gold, 32 GB)",13200,4
4.2,"Moto Z with Style Mod (White, 64 GB)",39999,4
4.2,"Moto Z with Style Mod (Black, 64 GB)",39999,4
4.4,"Samsung C7 Pro (Navy Blue, 64 GB)",24900,4
3.8,"Coolpad A8 (Royal Gold, 64 GB)",10949,4
4.4,"Moto Z2 Play (Fine Gold, 64 GB)",24999,4
4.4,"Moto Z2 Play (Lunar Gray, 64 GB)",24999,4
4.3,"Honor 8 Lite (Black, 64 GB)",15068,4
3.8,"Smartron srt.phone (Titanium Gray, 64 GB)",11999,4
4.3,"Samsung Galaxy A9 Pro (Gold, 32 GB)",22800,4
4.1,"Sony Xperia XA1 Plus (Black, 32 GB)",24990,4
4.1,"Sony Xperia XA1 Plus (Gold, 32 GB)",24990,4
4.1,"Sony Xperia XA1 Plus (Blue, 32 GB)",24990,4
5,"Sony Xperia XZ1 (Black, 64 GB)",44990,4
3.8,"Smartron srt.phone (Titanium Gray, 32 GB)",10999,4
3.8,"Yu Yunicorn (Rush Silver, 32 GB)",9499,4
3.8,"Yu Yunicorn (Gold Rush, 32 GB)",9499,4
4.5,"Google Pixel (Very Silver, 32 GB)",57000,4
4.2,"VIVO V5 (Crown gold, 32 GB)",16990,4
4.3,"Asus Zenfone 3 (White, 64 GB)",16550,4
3.6,"Swipe Elite Max (Onyx Black, 32 GB)",12999,4
4.5,"Google Pixel XL (Quite Black, 128 GB)",49490,4
4.3,"Asus Zenfone 3 (Black, 64 GB)",17999,4
